system,quantity,p1,p25,p50,p75,p99,min,max
ieee14,Pinj_MW,-266.0959,0.0000,8.4466,15.7373,107.4166,-305.3424,122.4600
ieee14,Qinj_MVAr,-40.6902,-4.4252,1.6291,5.6650,20.9115,-53.2760,25.0276
ieee14,V_pu,1.0100,1.0336,1.0523,1.0600,1.0900,1.0086,1.0900
ieee14,theta_deg,-18.8628,-15.6906,-13.8378,-10.7033,0.0000,-21.0404,0.0000
ieee30,Pinj_MW,-43.5816,0.0000,2.8531,8.8054,32.6993,-50.7564,39.0000
ieee30,Qinj_MVAr,-43.3034,0.0000,1.1758,2.6516,32.6993,-51.9586,39.0000
ieee30,V_pu,0.9563,0.9725,0.9799,0.9900,1.0000,0.9465,1.0000
ieee30,theta_deg,-4.5621,-3.1921,-2.4645,-1.7496,1.6832,-5.5959,2.7201
ieee57,Pinj_MW,-432.3281,0.0000,5.3102,15.1895,122.2395,-564.2308,157.3000
ieee57,Qinj_MVAr,-114.3600,0.0000,1.9859,4.0452,88.2551,-142.0393,89.9643
ieee57,V_pu,0.6892,0.8285,0.8798,0.9769,1.0400,0.6009,1.0400
ieee57,theta_deg,-27.4837,-15.6455,-12.9467,-10.1151,0.0000,-34.4184,0.0000
ieee89,Pinj_MW,-1362.0429,-0.0000,0.0000,204.6321,833.5128,-2324.3789,1203.6830
ieee89,Qinj_MVAr,-715.1756,-0.0000,0.0000,22.4643,198.3358,-1015.1440,274.1700
ieee89,V_pu,0.9613,1.0073,1.0341,1.0483,1.0838,0.9293,1.0932
ieee89,theta_deg,-13.5086,-7.6165,-2.6502,2.0824,29.8466,-17.2384,33.0336
ieee118,Pinj_MW,-562.7392,7.1215,22.5214,47.5723,173.1332,-789.1000,238.6101
ieee118,Qinj_MVAr,-190.3169,0.2657,7.9477,16.2827,56.0518,-217.9275,82.0255
ieee118,V_pu,0.9430,0.9679,0.9840,0.9980,1.0500,0.9378,1.0500
ieee118,theta_deg,5.0994,13.4422,19.5092,26.8691,37.6202,-1.4384,45.9890
ieee145,Pinj_MW,-7627.6710,-289.2975,0.0000,0.0000,1639.3678,-12944.3550,11912.4398
ieee145,Qinj_MVAr,-2664.4575,-71.5216,0.0000,0.0000,235.8070,-8366.7596,800.5925
ieee145,V_pu,0.9200,1.0214,1.0640,1.1014,1.1550,0.9150,1.2156
ieee145,theta_deg,-127.8469,-50.3506,1.4292,51.3614,152.3703,-179.9995,179.9986
ieee200,Pinj_MW,-212.3735,0.0000,1.9919,12.4772,91.5114,-767.7355,137.4880
ieee200,Qinj_MVAr,-59.4091,0.0000,0.5680,3.5550,26.0795,-131.7053,39.1820
ieee200,V_pu,0.9799,1.0051,1.0182,1.0332,1.0400,0.9595,1.0451
ieee200,theta_deg,-43.5839,-39.3184,-37.2856,-35.0639,-26.8410,-46.3452,-22.4136
ieee300,Pinj_MW,-1314.2314,0.0000,4.7658,72.6368,764.1762,-2509.0000,1324.9600
ieee300,Qinj_MVAr,-417.5236,0.0000,0.0000,18.7301,233.7769,-1860.3577,845.0000
ieee300,V_pu,0.8696,0.9630,0.9916,1.0165,1.0650,0.6252,1.0735
ieee300,theta_deg,-51.3140,-25.4697,-14.8746,-2.6613,26.1687,-108.3564,71.4350
