system,family,train,val,test,total
14,benign,12122,3910,3968,20000
14,Ao,1818,613,569,3000
14,Ad,1807,578,615,3000
14,As,1825,584,591,3000
14,Ar,1823,587,590,3000
14,ramp,1620,720,660,3000
14,LRA,1785,608,607,3000
118,benign,12019,4036,3945,20000
118,Ao,1785,602,613,3000
118,Ad,1740,651,609,3000
118,As,1801,616,583,3000
118,Ar,1769,648,583,3000
118,ramp,1920,420,660,3000
118,LRA,1766,627,607,3000
300,benign,11874,4045,4081,20000
300,Ao,1802,565,633,3000
300,Ad,1749,621,630,3000
300,As,1760,620,620,3000
300,Ar,1770,626,604,3000
300,ramp,1987,671,367,3025
300,LRA,1873,506,621,3000
